Дата:;11/09/17
Время:;03:05:48
Напряжение,В;Ток,мкА
-7,996;V-7,996;
;-2434,;
-6,999;-2130,;
-6,492;-1975,;
-5,998;-1825,;
-5,497;-1668,;
-5,007;-1521,;
-4,498;-1367,;
-3,993;-1212,;
-3,503;-1063,;
-2,998;-908,1;
-2,506;-759,3;
-1,999;-602,9;
-1,492;-450,3;
-1,004;-300,2;
0,4956;-143,7;
0,0093;8,8296;
0,4994;157,67;
1,0063;312,82;
1,4964;461,66;
2,0033;616,81;
2,5084;770,70;
3,0003;919,54;
3,5073;1073,4;
3,9992;1223,5;
4,5024;1378,6;
5,0093;1531,3;
5,4975;1681,4;
6,0045;1835,3;
6,4926;1987,9;
7,0015;2139,3;
7,5046;2295,7;
8,0003;2444,5;
8,5054;2598,4;
8,9973;2748,5;
9,5024;2903,6;
10,009;3057,5;
10,497;3207,6;
11,004;3360,3;
11,496;3511,6;
12,001;3665,5;
12,508;3819,4;
13,000;3969,5;
13,507;4124,7;
14,001;4273,5;
14,506;4427,4;
15,011;4582,5;
15,501;4730,1;
16,010;4886,5;
16,500;5035,4;
17,009;5190,5;
17,512;5344,4;
18,004;5495,8;
18,512;5645,9;
19,001;5796,0;
19,509;5952,4;
20,016;6107,6;
20,506;6253,9;
21,013;6409,0;
21,513;6561,7;
22,022;6719,3;
22,525;6870,7;
23,017;7019,5;
23,529;7174,7;
24,019;7323,5;
24,526;7477,4;
25,033;7632,6;
25,527;7782,7;
26,032;7936,6;
26,520;8085,4;
27,035;8239,3;
27,540;8394,4;
28,030;8544,5;
28,537;8699,7;
29,031;8849,8;
29,538;9001,2;
30,043;9156,3;
30,538;9303,9;
31,042;9460,3;
31,533;9607,9;
32,042;9764,3;
32,549;9915,7;
33,043;10067,;
33,552;10219,;
34,044;10369,;
34,553;10522,;
35,060;10676,;
35,553;10826,;
36,058;10981,;
36,554;11131,;
37,059;11284,;
37,568;11439,;
38,060;11589,;
38,569;11740,;
39,063;11892,;
39,570;12046,;
40,078;12200,;
40,572;12350,;
41,077;12502,;
41,571;12652,;
42,080;12805,;
42,585;12960,;
43,079;13108,;
43,589;13265,;
44,081;13413,;
44,586;13566,;
45,093;13721,;
45,591;13870,;
46,094;14024,;
46,588;14174,;
47,097;14326,;
47,602;14479,;
48,096;14630,;
48,604;14782,;
49,111;14936,;
49,607;15082,;
50,112;15237,;
